formula,target
C6Fe1Mn2N6,4.965846
Ge1Te1,0.592233
As1Se1Y1,0.134703
Ag3K1Se2,0.756635
Bi2O5Se1,3.890007
Br1Cr1S1,1.3748410000000002
Ba2F6Zn1,7.310396
K3Si1Te3,2.501997
Cl1Cs8Ga11,1.28218
B3N6Na1Sr4,3.06186
Ba1Cu1K2N6O12,2.539409
Fe1Li1O8W2,3.458067
Na2Se5Si2,3.415516
Cl8Hg2Pd1Tl2,3.038562
D5K3Mn1,3.782667
Mg1O3P1,6.756458
Ag1Cr3O8,1.94489
Cu1Nb1Rb2Se4,2.53394
Cl12Hf1Se2,3.977791
H1O6Ti2V1,2.529354
Br2Co1H8O4,4.660723
Cs2Mo1Se4,1.769983
Cd1Cr2S4,1.8237879999999995
Ag1Cr1O2,2.899923
C3O1S7,2.870799
Ga1N5Sr6,1.157553
K2O7Sr1Ta2,3.354712
C1N2S2,0.748249
Cl4K2Pd1,3.155924
Ba3Mn1Nb2O9,2.644057
Pt1Rb2Te2,1.563292
Ba2Cd2K1Sb3,0.71305
B4Cu1Lu2O10,3.680759
Cs2I6Sn1,0.936289
I4Se1Tl6,2.214078
B1Ca3N3,1.253422
Li8N2Te1,3.379276
Cu1O9Se3Sr2,3.370498
Ba1I4O12Pd1,3.584595
Ni1O6Sb2,2.856266
N4Sn3,1.45835
Cu1Li1O4V1,2.992615
H6In1N1O6P2,5.474158
Cd3P2,0.748484
S2V1,0.682094
Cs2Ga1Sb2,1.6059929999999998
Ge1Mn2Se4,1.404063
C3Fe1H3O6,3.297546
Ba1Cu2Ge3H2O10,3.607403
Br1N1Sr2,2.877611
Cu1Ga1Te2,0.9639
Co1Li1N2Sr2,1.552585
Cl2Pd1Se6,2.159122
Li2Na1Sb1,1.244633
D1Mg1N1,3.508497
Se4Ti1Zr1,0.189024
O6Pt3Zn1,1.194502
Cu6Hg3S12Sb4,1.0859340000000004
As1Br1Cd1Hg1,1.725218
Ag1In1Se2,0.7379900000000001
B4Cu1Li2O10Pb2,3.947817
C2Cs1K1,4.771103
Bi2Mn3O2Sr2,1.135146
La4O12Ti3,4.196705
Mn2O7V2,1.723188
Ag2Nb4O11,3.704959
Na2Nb4O11,3.914277
La1N1O4,2.155588
Pd1Se2,0.42214
C1Ca4N4,2.734333
Cu1I1Se3,2.053343
Cr7O24P6,1.472538
Fe1K1Mo2O8,3.621278
H6O9Rb1S1V1,4.19264
P4S3,3.631367
Ag1C5Cs2N5S5Zn1,4.333575
Au1Na1O14S4,3.4575569999999995
O5Ti3,0.712562
Au1O1Rb3,0.980242
Cl3Tc1,0.800007
Hg1Rb6Se4,2.08884
Br1H1,2.279417
As1Ga1O4,4.840491
C6Co1H12N8O8,3.563458
S4Sn1Sr2,3.501886
Na1P15,2.142175
H2Mn2O5S1,2.936696
Cs1Cu1F4,3.837287
Bi1Mn1O3,1.268357
Na1Se2Y1,2.733442
F3Ga1,6.967622
As2H1Li1Sr3,2.172485
C1N2Sr1,4.383291
Al1P1S4,4.024227
As1Cs1Se2,2.037158
F2O1Pb2,3.803183
As2Cl13Sb1,2.3154630000000003
Ba1Fe4O7,3.239828
Al2Mn1Te4,1.632262
Ir1P1Se1,2.286363
Te3Y2,1.199813
O12Rb2Sr1V4,3.934042
As1Ca3N1,1.4867909999999998
Ag2I6O18Ti1,3.640956
